drug_name	drug_smiles_canonical	off_target_gene	is_intended_target	drug_in_training	gene_in_training	n_training_pdbs_for_gene	drug_paired_with_gene_in_training	n_training_pairs_drug_x_gene	n_training_pairs_drug_total	n_training_pairs_gene_total	leakage_class	notes
ibrutinib	C=CC(=O)N1CCC[C@H]1c1nc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc12	BTK	True	False	True	53	False	0	0	9294	C	drug-OOD (SMILES not in training)
ibrutinib	C=CC(=O)N1CCC[C@H]1c1nc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc12	BMX	False	False	True	1	False	0	0	254	C	drug-OOD (SMILES not in training)
ibrutinib	C=CC(=O)N1CCC[C@H]1c1nc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc12	BLK	False	False	True	1	False	0	0	198	C	drug-OOD (SMILES not in training)
ibrutinib	C=CC(=O)N1CCC[C@H]1c1nc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc12	EGFR	False	False	True	82	False	0	0	9426	C	drug-OOD (SMILES not in training)
ibrutinib	C=CC(=O)N1CCC[C@H]1c1nc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc12	ERBB2	False	False	True	3	False	0	0	2950	C	drug-OOD (SMILES not in training)
ibrutinib	C=CC(=O)N1CCC[C@H]1c1nc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc12	ERBB4	False	False	True	3	False	0	0	229	C	drug-OOD (SMILES not in training)
ibrutinib	C=CC(=O)N1CCC[C@H]1c1nc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc12	FGR	False	False	True	1	False	0	0	69	C	drug-OOD (SMILES not in training)
ibrutinib	C=CC(=O)N1CCC[C@H]1c1nc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc12	FYN	False	False	True	4	False	0	0	786	C	drug-OOD (SMILES not in training)
ibrutinib	C=CC(=O)N1CCC[C@H]1c1nc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc12	HCK	False	False	True	11	False	0	0	449	C	drug-OOD (SMILES not in training)
ibrutinib	C=CC(=O)N1CCC[C@H]1c1nc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc12	ITK	False	False	True	30	False	0	0	1299	C	drug-OOD (SMILES not in training)
ibrutinib	C=CC(=O)N1CCC[C@H]1c1nc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc12	JAK3	False	False	True	34	False	0	0	4894	C	drug-OOD (SMILES not in training)
ibrutinib	C=CC(=O)N1CCC[C@H]1c1nc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc12	LCK	False	False	True	24	False	0	0	1735	C	drug-OOD (SMILES not in training)
ibrutinib	C=CC(=O)N1CCC[C@H]1c1nc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc12	LYN	False	False	True	2	False	0	0	377	C	drug-OOD (SMILES not in training)
