target	drug_name	drug_idx	n_training_pairs	n_canonical_human_target	n_mouse_ortholog_of_target	n_off_target	verdict
CD73	AB680	511365	1	0	1	0	MOUSE_ORTHOLOG_ONLY
CD73	AMP	120108	4	0	0	4	no_target_or_ortholog_in_training
CD73	AOPCP	265390	2	0	1	1	MOUSE_ORTHOLOG_ONLY
CD73	Adenosine	163	19	0	0	19	no_target_or_ortholog_in_training
CD73	Amoxicillin	219139	3	0	0	3	no_target_or_ortholog_in_training
CD73	Dipyridamole	34932	11	0	0	11	no_target_or_ortholog_in_training
CD73	LY3475070	273007	1	1	0	0	human_only
CD73	Levothyroxine	42220	2	0	0	2	no_target_or_ortholog_in_training
CD73	Loratadine	61696	4	0	0	4	no_target_or_ortholog_in_training
CD73	Warfarin	54520	1	0	0	1	no_target_or_ortholog_in_training
NLRP3	Amoxicillin	219139	3	0	0	3	no_target_or_ortholog_in_training
NLRP3	Glyburide	11409	8	1	1	6	both_human_and_mouse_ortholog
NLRP3	Levothyroxine	42220	2	0	0	2	no_target_or_ortholog_in_training
NLRP3	Loratadine	61696	4	0	0	4	no_target_or_ortholog_in_training
NLRP3	MCC950	20138	1	0	1	0	MOUSE_ORTHOLOG_ONLY
NLRP3	Tranilast	304893	2	0	0	2	no_target_or_ortholog_in_training
NLRP3	Warfarin	54520	1	0	0	1	no_target_or_ortholog_in_training
STING1	Amoxicillin	219139	3	0	0	3	no_target_or_ortholog_in_training
STING1	Levothyroxine	42220	2	0	0	2	no_target_or_ortholog_in_training
STING1	Loratadine	61696	4	0	0	4	no_target_or_ortholog_in_training
STING1	Warfarin	54520	1	0	0	1	no_target_or_ortholog_in_training
