split	drug_smiles	max_tanimoto_to_train	bucket	is_in_train
val	Cc1ccccc1Cc1c(C(=O)N2CCNCC2)c2ccccc2n1-c1ccsc1	0.4478	[0.3, 0.5)	False
val	CC(C)Nc1cc(Nc2ccc3ncsc3c2)ncc1C(=O)NC12CCC(N)(CC1)CC2	0.5974	[0.5, 0.7)	False
val	CC#CC(CC(=O)O)c1ccc(Oc2ccc(C#N)c3ccccc23)cc1	0.4247	[0.3, 0.5)	False
val	N#Cc1c2n(c3c(N4CCN(CCCc5ccccc5)CC4)ncnc13)CCCC2	0.8929	[0.7, 0.9)	False
val	CCc1cccc2nc(CSc3nc(-c4ccccc4)cn3C)nn12	0.375	[0.3, 0.5)	False
val	CCOc1cc(/C=C2\Oc3ccc(OC)cc3C2=O)ccc1O	1.0	[0.9, 1.0]	True
val	CCN(CC)CCOC(=O)Cc1cccc2c(=O)cc(-c3ccccc3)oc12	0.5156	[0.5, 0.7)	False
val	CC(F)[C@@H](C)Nc1cc(Nc2ncc(C#N)cc2Cl)ncc1C(=O)NC[C@@H](F)C(C)(C)O	0.5244	[0.5, 0.7)	False
val	Fc1cccc(F)c1CC1(Cn2cncn2)COC(c2ccc(-c3ccsc3)cc2)=N1	1.0	[0.9, 1.0]	True
val	CC(C)Nc1cc(-c2ccc3cc(C#N)cnn23)ncc1-c1nnc(N2C[C@H]3CC[C@@H](C2)[C@@H]3NC(=O)C(C)(C)O)s1	0.3551	[0.3, 0.5)	False
val	Cc1ncccc1Oc1ccc(NS(=O)(=O)c2coc3ccccc23)cn1	0.4127	[0.3, 0.5)	False
val	N#C[Se]Cc1cccc(C[Se]C#N)c1	1.0	[0.9, 1.0]	True
val	O=C(O)c1cnn(-c2nc3nccnc3[nH]2)c1	0.3281	[0.3, 0.5)	False
val	Cc1c(Cl)cc(C(F)(F)F)c2nc(CCc3nc(N4CCC(F)(F)C4)nn3C)nn12	0.5846	[0.5, 0.7)	False
val	CC(C)CCNC(=O)[C@@H](C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)N(C)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)CC[C@H](N)C(=O)O)C(C)C	0.5649	[0.5, 0.7)	False
val	Cc1ccc(-c2noc(COC3CC(F)(F)C3(F)F)n2)cc1NC(=O)c1cnc2ccccn12	0.4444	[0.3, 0.5)	False
val	COc1cc2c(Oc3ccc(NC(=O)C(C)c4nnc(-c5ccc(F)cc5)o4)cc3F)ccnc2cc1OCCCN1CCC(C)CC1	1.0	[0.9, 1.0]	True
val	CC(=O)N1CC[C@H]1CNc1cc(-c2ccc3cc(C#N)cnn23)ncc1C(=O)NC[C@@H](F)C(C)(C)O	0.3939	[0.3, 0.5)	False
val	CC(=O)N1CCCC(n2cc(-c3cnc(-n4ncc5cc(C#N)cnc54)cc3NC(C)C)nn2)C1	0.4375	[0.3, 0.5)	False
val	CC(C)C[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CCCNC(N)=[NH2+])NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]([NH3+])CCC(=O)[O-])C(=O)[O-]	0.8817	[0.7, 0.9)	False
val	CCCn1cc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cn1	1.0	[0.9, 1.0]	True
val	CCNS(=O)(=O)Nc1nccc(Cc2cc(C(=O)NOCCO)c(Nc3ccc(I)cc3F)c(F)c2F)c1F	1.0	[0.9, 1.0]	True
val	CSC[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C	0.775	[0.7, 0.9)	False
val	Cc1ccc(C(C)(O)CO)cc1-c1nnc2c(C)nc3ccc(C4CC4)nc3n12	1.0	[0.9, 1.0]	True
val	CC(=O)CCC#CCN(C)C	0.3462	[0.3, 0.5)	False
val	Cc1cc(C(C)Nc2cccc3ccccc23)c2oc(N3CCOCC3)nc(=O)c2c1	0.5405	[0.5, 0.7)	False
val	CCCCc1nc2[nH]ncc2c2nc(-c3ccc(OC)cc3)nn12	0.8039	[0.7, 0.9)	False
val	Cn1cnc(-c2cc(C(=O)O)ccn2)c1-c1ccc(Cl)c(F)c1	0.8163	[0.7, 0.9)	False
val	Cc1cnc(N)nc1N(C)CC(C)(C)C	0.3333	[0.3, 0.5)	False
val	Cn1cc(-c2cccc(-c3ncc(-c4ccn(C)n4)c(NCCCN4CCOC4=O)n3)c2)cn1	0.8485	[0.7, 0.9)	False
val	Cc1c(CO[C@H]2C[C@@H]3CN(C(=O)n4ccc(C(=O)O)n4)C[C@@H]3C2)cccc1C(F)(F)F	0.7344	[0.7, 0.9)	False
val	COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCC(=O)[O-]	0.875	[0.7, 0.9)	False
val	CCN(C)c1cc(C(=O)Nc2ccc(C)c(-c3cc(N4CCOCC4)c(=O)n(C)c3)c2)ccn1	1.0	[0.9, 1.0]	True
val	COc1ccc(C(=O)n2c(C(C)(C)C)nc3ccccc32)cc1	0.5417	[0.5, 0.7)	False
val	Cc1ccc(-c2noc(C3(O)CCC3)n2)cc1NC(=O)c1cnc2ccccn12	0.481	[0.3, 0.5)	False
val	CCc1nc(O)c(Cc2cc3cc(OC)ccc3nc2NCC(F)(F)F)c2cc(OC)c(OC)cc12	0.3333	[0.3, 0.5)	False
val	Nc1nc2[nH]c(CCCCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cn3)cc2c(=O)[nH]1	1.0	[0.9, 1.0]	True
val	O=C(O)C1CCN(c2c(/C=C/c3ccc4ccccc4n3)nc3c(N4CCOCC4)ccnn23)CC1	1.0	[0.9, 1.0]	True
val	C/C=C1\NC(=O)[C@@H](NC(=O)[C@H](C/C=C(/N)O)NC(=O)CCCCC)[C@@H](C)O[C]([O-])[C@H](C(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCCO)NC1=O	0.529	[0.5, 0.7)	False
val	N#Cc1sccc1NC(=O)c1csc2ncc(N3C[C@@H]4CC[C@H]3CN4)nc12	0.4304	[0.3, 0.5)	False
val	Nc1nc(N2CCC[C@@H]2C(=O)N2CCN(c3ccc(F)cc3F)CC2)nc2nc(-c3ccco3)nn12	0.4535	[0.3, 0.5)	False
val	CC1Cc2ccccc2N1C(=O)CCNC(=O)c1ccc(S(C)(=O)=O)c([N+](=O)[O-])c1	0.5429	[0.5, 0.7)	False
val	Cn1cc(-c2cc3c(N4CCN(c5ncc(C(C)(C)c6ccc(F)cc6)cn5)CC4)ncnn3c2)cn1	0.8333	[0.7, 0.9)	False
val	COc1cc2c(cc1-n1cnc3ccc(-c4ccnc5[nH]ccc45)nc31)CNC2	1.0	[0.9, 1.0]	True
val	CNC(=S)NCCCCC(NC(=O)C(Cc1ccccc1)NS(=O)(=O)N(C)C)C(=O)NC(CC1CCCCC1)[C@@H](O)CC(=O)N1CCOC(CCN)C1	0.84	[0.7, 0.9)	False
val	CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCNC(=O)OC)C(=O)C(C)(c1cc(F)cc(F)c1)O2	0.4941	[0.3, 0.5)	False
val	CC12CCC(O)CC1=CCC1C2CCC2(C)C(c3cnc[nH]3)=CCC12	0.6316	[0.5, 0.7)	False
val	CCCc1nc(-c2ccccc2)cn2c(CC(=O)N[C@@H](CC3CCCCC3)C(O)C3CCCCC3)nnc12	0.3929	[0.3, 0.5)	False
val	c1ccc(Cn2c(-c3cccnc3)cc3cnc(Nc4ccncn4)cc32)cc1	0.5806	[0.5, 0.7)	False
val	N=C1NCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl	0.619	[0.5, 0.7)	False
val	CNC(=O)c1ccc(Sc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)nc1	1.0	[0.9, 1.0]	True
val	CC(C)Nc1cc(-c2ccc3cc(C#N)cnn23)ncc1-c1nnc(N2CCCC2)s1	0.3511	[0.3, 0.5)	False
val	CC(C)C[C@H](NC(=O)[C@@H](CS)Cc1ccccc1)C(=O)O	1.0	[0.9, 1.0]	False
val	COCCCn1cc2cc(NC(=O)c3cccc(C(F)(F)F)n3)c(C(C)(C)O)cc2n1	0.8226	[0.7, 0.9)	False
val	CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1cscn1)NC(=O)[C@H]1[C@@H](Cc2ccccc2)[C@@H]1C(=O)N1CCOCC1	0.6989	[0.5, 0.7)	False
val	COC(=O)N1CCN([C@H]2CC[C@H](Nc3nc(Nc4cnn(C5CCOC5)c4)nc4snc(C)c34)CC2)CC1	0.4574	[0.3, 0.5)	False
val	O=C(Nc1cc(Cl)ccc1N1CCCCCC1)c1cnn2cccnc12	0.7705	[0.7, 0.9)	False
val	CNCC[C@@H](Oc1cc(Cl)ccc1C#N)c1ccccc1	1.0	[0.9, 1.0]	True
val	Cc1ccc(CC(=O)NC2CN(c3ncnn4cc(-c5cnn(CC(C)(C)O)c5)cc34)C2)cc1	0.4744	[0.3, 0.5)	False
val	CC[C@H](NC(=O)[C@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)N[C]([O-])OC(C)(C)C)c1[nH]cc[nH+]1	1.0	[0.9, 1.0]	True
val	Nc1nc(N2CCC[C@H]2C(=O)N2CCN(CCCC(F)(F)F)CC2)nc2nc(-c3ccco3)nn12	0.5	[0.5, 0.7)	False
val	CC(=O)Nc1cccc(-c2cnc(N)c(-c3ccc(O)cc3)c2)c1	1.0	[0.9, 1.0]	True
val	FC(F)(F)c1ccc2nc(N3CCN(c4ncccc4I)CC3)[nH]c2c1	0.614	[0.5, 0.7)	False
val	COc1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4c(N)nc(N5CCN(C6CCN(C)CC6)CC5)nc34)c2)cc1C(F)(F)F	0.4667	[0.3, 0.5)	False
val	C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3cnc[nH]3)=CC[C@@H]12	0.6316	[0.5, 0.7)	False
val	CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)NC(CC(=O)O)C(=O)CF	1.0	[0.9, 1.0]	True
val	O=S(=O)(c1ccc2ccccc2c1)N(CCCN1CCN(c2ccc(F)cc2)CC1)CC1CCCCC1	1.0	[0.9, 1.0]	True
val	COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2cccnc2)C2CC2)cc(OCCOC)c1	0.5465	[0.5, 0.7)	False
val	CC(C)(O)[C@H](F)CNC(=O)c1cnc(Nc2ncc(C#N)cc2F)cc1NC1CCOCC1	0.5476	[0.5, 0.7)	False
val	Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12	1.0	[0.9, 1.0]	True
